,accident_id,icao,iata,name,state,country,country_code,lat,lon
2302,ACC2276,xxxx,ALA,Almaty Airport,,Kazakhstan,KZ,43.3521003723,77.0404968262
3,ACC2281,xxxx,xxx,Friemersheim,,South Africa,ZA,-33.92657824207645,22.117923517739808
4,ACC2282,xxxx,xxx,Cooma,NSW,Australia,AU,-36.23235,149.13158
255,ACC229,xxxx,xxx,Yeniseisk,,Russia,RU,58.70663931656206,91.27630130945901
15,ACC2293,xxxx,xxx,La Crosse,"Rush County, KS",United States,US,38.53933,-99.32293
19,ACC2297,xxxx,xxx,Bardale Airstrip,,Somalia,SO,7.06583,47.87116
256,ACC230,xxxx,ASP,Alice Springs Airport,NT,Australia,AU,-23.8066997528,133.9019927979
24,ACC2302,xxxx,xxx,Kistenevo,"Bolsheboldinsky district, Nizhny Novgorod region",Russia,RU,55.07555625350937,45.36604562054322
26,ACC2304,xxxx,xxx,Tagarkhay,Buryatia region,Russia,RU,51.87792050964083,101.66584139334937
30,ACC2308,xxxx,JUB,Juba Airport,,South Sudan,SS,4.897446405102616,31.574575700588674
257,ACC231,xxxx,xxx,St. Johns,NL,Canada,CA,47.541074591516775,-52.100374024138425
39,ACC2317,xxxx,xxx,Pine Grove,OR,United States,US,44.962232472177554,-121.30045175415334
47,ACC2325,xxxx,xxx,Shanghu,Ji'an County,China,CN,36.66644,116.96486
48,ACC2326,xxxx,xxx,Pieri,,South Sudan,SS,8.05373,32.0388
259,ACC233,xxxx,xxx,Beni Suef,,Egypt,EG,29.07583,31.09673
60,ACC2338,xxxx,xxx,Tanay Airfield,,Russia,RU,55.75696,37.61502
260,ACC234,xxxx,xxx,Jalkot,,Pakistan,PK,33.70964,73.07544
66,ACC2344,xxxx,TKF,Truckee Airport,CA,United States,US,39.3200555555556,-120.139583333333
67,ACC2345,xxxx,NRD,Norderney Airfield,,Germany,DE,53.706943512,7.2300000191
70,ACC2348,xxxx,xxx,Kazachinskoye Airport,,Russia,RU,55.783939648177565,37.61502
72,ACC2350,xxxx,ZGP,Bilogai/Sugapa Airport,,Indonesia,ID,-3.75101083065691,137.00502045319678
75,ACC2353,xxxx,xxx,Menzelinsk Airport,,Russia,RU,55.29695705457229,61.5434439996613
79,ACC2357,xxxx,JUB,Juba Airport,,South Sudan,SS,4.89449327114797,31.601100921600004
80,ACC2358,xxxx,IKT,Irkutsk Airport,,Russia,RU,52.24891996172405,104.43890787536056
262,ACC236,xxxx,YEG,Edmonton International Airport,AB,Canada,CA,53.290618259746566,-113.573431737684
86,ACC2364,xxxx,xxx,Shabunda,,Democratic Republic of the Congo,CD,-2.601200775534872,27.24746582819939
96,ACC2374,xxxx,xxx,Wuzhou,Tengxian County,China,CN,25.95151780999178,119.11162011719631
98,ACC2376,xxxx,BYI,Burley Municipal Airport,ID,United States,US,42.547062367249296,-113.76950174564091
100,ACC2378,xxxx,xxx,Mykhailivka,,Ukraine,UA,47.26814,35.22247
264,ACC238,xxxx,xxx,Petukhovo,Bolshesosnovsky district,Russia,RU,60.36178,37.64965
103,ACC2381,xxxx,xxx,Sanosware,,Nepal,NP,27.99485,82.85838
104,ACC2382,xxxx,OCN,Oceanside Municipal Airport,CA,United States,US,33.2179762733453,-117.34897697683205
265,ACC239,xxxx,NIC,Nicosia Airport,,Cyprus,CY,35.30488967451876,33.430773561633956
112,ACC2390,xxxx,RDU,Raleigh/Durham Airport,NC,United States,US,35.8776388888889,-78.7874722222222
113,ACC2391,xxxx,xxx,Piotrków Trybunalski-Bujny Airport,,Poland,PL,51.38995218569683,19.68727117561934
114,ACC2392,xxxx,xxx,Freeland,WA,United States,US,47.990478980910936,-122.53448606922427
120,ACC2398,xxxx,BKZ,Bukoba Airport,,Tanzania,TZ,-1.332,31.8212
121,ACC2399,xxxx,xxx,Snohomish,WA,United States,US,47.91265,-122.09305
269,ACC243,xxxx,xxx,Ura-Tube,,Tajikistan,TJ,40.163221698884065,69.49722407974282
271,ACC245,xxxx,PLX,Semipalatinsk Airport,,Kazakhstan,KZ,50.3512992859,80.2343978882
272,ACC246,xxxx,xxx,Nabire,,Indonesia,ID,-3.3584761256960953,135.88955534330833
275,ACC249,xxxx,xxx,Kondinskoye,,Russia,RU,59.62441729087776,66.13071581850716
278,ACC252,xxxx,BSL,Basel/Mulhouse Airport,,Switzerland,CH,47.45470136851218,7.5299100876
280,ACC254,xxxx,xxx,Chita,,Russia,RU,52.01599363136478,111.57630389728156
281,ACC255,xxxx,xxx,Casey Airport,QC,Canada,CA,58.088585542318306,-68.41388802993582
282,ACC256,xxxx,KUF,Kuybyshev Airport,,Russia,RU,53.504901886,50.1642990112
284,ACC258,xxxx,xxx,Eureka,NV,United States,US,39.51542,-115.96211
286,ACC260,xxxx,xxx,Titograd,,Montenegro,ME,42.75021256207156,19.26388
287,ACC261,xxxx,ITB,Itaituba Airport,PA,Brazil,BR,-4.2423400879,-56.0007019043
288,ACC262,xxxx,xxx,Magadan,,Russia,RU,59.612176543971515,150.9041936387435
290,ACC264,xxxx,TAZ,Tashauz Airport,,Turkmenistan,TM,41.761100769,59.8266983032
294,ACC268,xxxx,MIA,Miami International Airport,FL,United States,US,25.79535974661818,-80.27878272329117
296,ACC270,xxxx,ROV,Rostov Airport,,Russia,RU,47.48970361375325,39.919337895342174
297,ACC271,xxxx,PPG,Pago Pago International Airport,,American Samoa,AS,-14.339293089237088,-170.71920425870027
298,ACC272,xxxx,HUI,Hue Airport,,Vietnam,VN,16.4015007019,107.70300293
299,ACC273,xxxx,xxx,San Francisco de Moxos,,Bolivia,BO,-16.549956614329457,-68.20002637357285
300,ACC274,xxxx,BWI,Baltimore/Washington International Airport,MD,United States,US,39.1757283333333,-76.6689911111111
301,ACC275,xxxx,xxx,Newton Fiord,NU,Canada,CA,53.5767,-113.42341
302,ACC276,xxxx,KVX,Kirov Airport,,Russia,RU,58.50157868991703,49.34215404040555
305,ACC279,xxxx,ROV,Rostov Airport,,Russia,RU,47.50083333,39.93361111
306,ACC280,xxxx,xxx,Winslow,AZ,United States,US,35.02426,-110.69624
307,ACC281,xxxx,xxx,Kline,SC,United States,US,33.1335,-81.34584
310,ACC284,xxxx,xxx,Cairo,,Egypt,EG,30.04427,31.23525
312,ACC286,xxxx,MQU,Mariquita Airport,,Colombia,CO,5.2080633919704065,-74.8836
313,ACC287,xxxx,xxx,Linoghin,,Burkina Faso,BF,12.46749,-1.19235
314,ACC288,xxxx,xxx,Porlamar Airport,Isla Margarita,Venezuela,VE,10.473752545477623,-66.94449222809871
317,ACC291,xxxx,xxx,Anchorage,AK,United States,US,59.1212511898161,-149.1775113862118
318,ACC292,xxxx,xxx,Old Man's Camp,AK,United States,US,58.29973,-134.40679
319,ACC293,xxxx,YOX,Rea Point Airfield,NT,Canada,CA,48.37960035182244,-123.3503
320,ACC294,xxxx,SXU,Soddu Airport,,Ethiopia,ET,6.8169999123,37.75
321,ACC295,xxxx,NBO,Nairobi International Airport,,Kenya,KE,-1.319239974,36.9277992249
322,ACC296,xxxx,IKT,Irkutsk Airport,,Russia,RU,52.2680015564,104.388999939
325,ACC299,xxxx,BHK,Bukhara Airport,,Uzbekistan,UZ,39.7750015259,64.4832992554
326,ACC300,xxxx,SEA,Seattle/Tacoma International Airport,WA,United States,US,47.458882104948074,-122.311777777778
327,ACC301,xxxx,LFW,Lome Airport,,Togo,TG,6.1656098366,1.2545100451
330,ACC304,xxxx,xxx,El Doncello,,Colombia,CO,1.68082,-75.2849
331,ACC305,xxxx,xxx,Whittier,CA,United States,US,33.97542,-118.03386
334,ACC308,xxxx,xxx,Egg Harbor,NJ,United States,US,39.36221,-74.58114
335,ACC309,xxxx,IAH,Houston-Intercontinental Airport,TX,United States,US,29.9844352777778,-95.3414425
336,ACC310,xxxx,FAI,Fairbanks International Airport,AK,United States,US,64.83334198767398,-147.856666666667
338,ACC312,xxxx,THR,Tehran-Mehrabad Airport,,Iran,IR,35.689201355,51.3134002686
339,ACC313,xxxx,BRC,San Carlos de Bariloche International Airport,RN,Argentina,AR,-41.150443749766595,-70.52919531428171
343,ACC317,xxxx,HHH,Hilton Head Airport,SC,United States,US,32.22948016549217,-80.69625626981824
346,ACC320,xxxx,xxx,Rockwood,TN,United States,US,35.8677,-84.68416
