,accident_id,date,year,icao,iata,name,state,country,country_code,lat,lon
48,ACC1106,1994-10-27,1994,URML,MCX,Makhachkala Airport,,Russia,RU,42.8167991638,47.6523017883
49,ACC1107,1994-10-29,1994,UEBB,BQJ,Batagay Airport,,Russia,RU,67.6480026245,134.6950073242
50,ACC1109,1994-11-04,1994,WABI,NBX,Nabire Airport,,Indonesia,ID,-3.3681800365,135.4960021973
51,ACC111,1970-03-21,1970,KLRD,LRD,Laredo International Airport,TX,United States of America,US,27.5441944444444,-99.4615833333333
52,ACC1110,1994-11-05,1994,SPRU,TRU,Trujillo Airport,,Peru,PE,-8.081410408,-79.1088027954
53,ACC1112,1994-11-16,1994,KBUR,BUR,Burbank/Glendale/Pasadena Airport,CA,United States of America,US,34.2006944444444,-118.358666666667
54,ACC1113,1994-11-22,1994,AYSO,SBC,Selbang Airport,,Papua New Guinea,PG,-9.45508,147.20381
55,ACC1116,1994-12-17,1994,AYTB,TBG,Tabubil Airport,,Papua New Guinea,PG,-5.2786102295,141.2259979248
56,ACC1118,1994-12-23,1994,FAJS,JNB,Johannesburg International Airport,,South Africa,ZA,-26.133667,28.242333
57,ACC112,1970-03-28,1970,FQMA,MPM,Lourenço Marques Airport,,Mozambique,MZ,-25.9207992554,32.5726013184
58,ACC1121,1995-01-10,1995,WADB,BMU,Bima Airport,,Indonesia,ID,-8.5396499634,118.68699646
59,ACC1123,1995-01-11,1995,CYVR,YVR,Vancouver International Airport,BC,Canada,CA,49.193901062,-123.1839981079
60,ACC1126,1995-01-20,1995,UNKL,KJA,Krasnoyarsk Airport,,Russia,RU,56.1729011536,92.4933013916
61,ACC1129,1995-01-28,1995,FNCF,CFF,Cafunfo Airport,,Angola,AO,-8.7836103439,17.9897003174
62,ACC1139,1995-03-22,1995,KSMF,SMF,Sacramento Metropolitan Airport,CA,United States of America,US,38.6954444444444,-121.590777777778
63,ACC114,1970-04-04,1970,URRR,ROV,Rostov Airport,,Russia,RU,47.2582015991,39.8180999756
64,ACC1146,1995-05-01,1995,CYRL,YRL,Red Lake Airport,ON,Canada,CA,51.0668983459,-93.7930984497
65,ACC1147,1995-05-04,1995,xxxx,xxx,Sibay Airport,,Russia,RU,43.44806,39.93555
66,ACC1148,1995-06-09,1995,NZAA,AKL,Auckland International Airport,,New Zealand,NZ,-37.0080986023,174.7920074463
67,ACC1150,1995-06-16,1995,xxxx,xxx,Herpuchi,,Russia,RU,52.98353,138.83361
